Tier 1-4,Return,Times ,0.00%,,,,,,,T5,Return,Times,,
,40,7,1.16%,280,,,,,,,10,2,14.29%,20
,41,12,1.99%,492,,,,,,,11,0,0.00%,0
,42,6,0.99%,252,,,,,,,12,1,7.14%,12
,43,6,0.99%,258,,,,,,,13,0,0.00%,0
,44,7,1.16%,308,,,,,,,14,0,0.00%,0
,45,5,0.83%,225,,,,,,,15,1,7.14%,15
,46,4,0.66%,184,,,,,,,16,1,7.14%,16
,47,3,0.50%,141,,,,,,,17,2,14.29%,34
,48,3,0.50%,144,,,,,,,18,1,7.14%,18
,49,10,1.66%,490,,,,,,,19,1,7.14%,19
,50,10,1.66%,500,,,,,,,20,1,7.14%,20
,51,5,0.83%,255,,,,,,,21,1,7.14%,21
,52,8,1.32%,416,,,,,,,22,1,7.14%,22
,53,10,1.66%,530,,,,,,,23,0,0.00%,0
,54,7,1.16%,378,,,,,,,24,0,0.00%,0
,55,6,0.99%,330,,,,,,,25,0,0.00%,0
,56,13,2.15%,728,,,,,,,26,0,0.00%,0
,57,7,1.16%,399,,,,,,,27,0,0.00%,0
,58,11,1.82%,638,,,,,,,28,0,0.00%,0
,59,13,2.15%,767,,,,,,,29,0,0.00%,0
,60,13,2.15%,780,,,,,,,30,0,0.00%,0
,61,8,1.32%,488,,,,,,,31,0,0.00%,0
,62,7,1.16%,434,,,,,,,32,0,0.00%,0
,63,10,1.66%,630,,,,,,,33,1,7.14%,33
,64,9,1.49%,576,,,,,,,34,0,0.00%,0
,65,7,1.16%,455,,,,,,,35,1,7.14%,35
,66,7,1.16%,462,,,,,,,36,0,0.00%,0
,67,12,1.99%,804,,,,,,,37,0,0.00%,0
,68,14,2.32%,952,,,,,,,38,0,0.00%,0
,69,13,2.15%,897,,,,,,,39,0,0.00%,0
,70,9,1.49%,630,,,,,,,40,0,0.00%,0
,71,15,2.48%,1065,,,,,,,Total,14,,265
,72,6,0.99%,432,,,,,,,,,,
,73,11,1.82%,803,,,,,,,,Average,18.92857143,
,74,5,0.83%,370,,,,,,,,Divation,0.623896876,
,75,10,1.66%,750,,,,,,,65%,Lower,18.30467455,
,76,11,1.82%,836,,,,,,,,Higher,19.5524683,
,77,9,1.49%,693,,,,,,,95%,Lower,17.68077768,
,78,13,2.15%,1014,,,,,,,,Higher,20.17636518,
,79,14,2.32%,1106,,,,,,,99%,Lower,17.0568808,
,80,10,1.66%,800,,,,,,,,Higher,20.80026206,
,81,6,0.99%,486,,,,,,,,,,
,82,2,0.33%,164,,,,,,,,,,
,83,3,0.50%,249,,,,,,,,,,
,84,6,0.99%,504,,,,,,,,,,
,85,4,0.66%,340,,,,,,,,,,
,86,7,1.16%,602,,,,,,,,,,
,87,4,0.66%,348,,,,,,,,,,
,88,2,0.33%,176,,,,,,,,,,
,89,2,0.33%,178,,,,,,,,,,
,90,2,0.33%,180,,,,,,,,,,
,91,1,0.17%,91,,,,,,,,,,
,92,3,0.50%,276,,,,,,,,,,
,93,2,0.33%,186,,,,,,,,,,
,94,5,0.83%,470,,,,,,,,,,
,95,8,1.32%,760,,,,,,,,,,
,96,4,0.66%,384,,,,,,,,,,
,97,2,0.33%,194,,,,,,,,,,
,98,4,0.66%,392,,,,,,,,,,
,99,5,0.83%,495,,,,,,,,,,
,100,9,1.49%,900,,,,,,,,,,
,101,3,0.50%,303,,,,,,,,,,
,102,3,0.50%,306,,,,,,,,,,
,103,3,0.50%,309,,,,,,,,,,
,104,0,0.00%,0,,,,,,,,,,
,105,3,0.50%,315,,,,,,,,,,
,106,1,0.17%,106,,,,,,,,,,
,107,2,0.33%,214,,,,,,,,,,
,108,2,0.33%,216,,,,,,,,,,
,109,2,0.33%,218,,,,,,,,,,
,110,0,0.00%,0,,,,,,,,,,
,111,2,0.33%,222,,,,,,,,,,
,112,5,0.83%,560,,,,,,,,,,
,113,1,0.17%,113,,,,,,,,,,
,114,3,0.50%,342,,,,,,,,,,
,115,1,0.17%,115,,,,,,,,,,
,116,4,0.66%,464,,,,,,,,,,
,117,5,0.83%,585,,,,,,,,,,
,118,0,0.00%,0,,,,,,,,,,
,119,2,0.33%,238,,,,,,,,,,
,120,1,0.17%,120,,,,,,,,,,
,121,3,0.50%,363,,,,,,,,,,
,122,2,0.33%,244,,,,,,,,,,
,123,1,0.17%,123,,,,,,,,,,
,124,3,0.50%,372,,,,,,,,,,
,125,4,0.66%,500,,,,,,,,,,
,126,2,0.33%,252,,,,,,,,,,
,127,3,0.50%,381,,,,,,,,,,
,128,2,0.33%,256,,,,,,,,,,
,129,5,0.83%,645,,,,,,,,,,
,130,1,0.17%,130,,,,,,,,,,
,131,6,0.99%,786,,,,,,,,,,
,132,5,0.83%,660,,,,,,,,,,
,133,3,0.50%,399,,,,,,,,,,
,134,3,0.50%,402,,,,,,,,,,
,135,3,0.50%,405,,,,,,,,,,
,136,4,0.66%,544,,,,,,,,,,
,137,4,0.66%,548,,,,,,,,,,
,138,3,0.50%,414,,,,,,,,,,
,139,1,0.17%,139,,,,,,,,,,
,140,3,0.50%,420,,,,,,,,,,
,141,0,0.00%,0,,,,,,,,,,
,142,0,0.00%,0,,,,,,,,,,
,143,0,0.00%,0,,,,,,,,,,
,144,0,0.00%,0,,,,,,,,,,
,145,0,0.00%,0,,,,,,,,,,
,146,0,0.00%,0,,,,,,,,,,
,147,0,0.00%,0,,,,,,,,,,
,148,0,0.00%,0,,,,,,,,,,
,149,0,0.00%,0,,,,,,,,,,
,150,0,0.00%,0,,,,,,,,,,
,151,2,0.33%,302,,,,,,,,,,
,152,1,0.17%,152,,,,,,,,,,
,153,2,0.33%,306,,,,,,,,,,
,154,2,0.33%,308,,,,,,,,,,
,155,0,0.00%,0,,,,,,,,,,
,156,2,0.33%,312,,,,,,,,,,
,157,2,0.33%,314,,,,,,,,,,
,158,0,0.00%,0,,,,,,,,,,
,159,1,0.17%,159,,,,,,,,,,
,160,0,0.00%,0,,,,,,,,,,
,161,0,0.00%,0,,,,,,,,,,
,162,1,0.17%,162,,,,,,,,,,
,163,2,0.33%,326,,,,,,,,,,
,164,0,0.00%,0,,,,,,,,,,
,165,1,0.17%,165,,,,,,,,,,
,166,1,0.17%,166,,,,,,,,,,
,167,1,0.17%,167,,,,,,,,,,
,168,1,0.17%,168,,,,,,,,,,
,169,0,0.00%,0,,,,,,,,,,
,170,0,0.00%,0,,,,,,,,,,
,171,1,0.17%,171,,,,,,,,,,
,172,1,0.17%,172,,,,,,,,,,
,173,2,0.33%,346,,,,,,,,,,
,174,0,0.00%,0,,,,,,,,,,
,175,1,0.17%,175,,,,,,,,,,
,176,0,0.00%,0,,,,,,,,,,
,177,1,0.17%,177,,,,,,,,,,
,178,0,0.00%,0,,,,,,,,,,
,179,2,0.33%,358,,,,,,,,,,
,180,0,0.00%,0,,,,,,,,,,
,181,3,0.50%,543,,,,,,,,,,
,182,2,0.33%,364,,,,,,,,,,
,183,1,0.17%,183,,,,,,,,,,
,184,0,0.00%,0,,,,,,,,,,
,185,1,0.17%,185,,,,,,,,,,
,186,1,0.17%,186,,,,,,,,,,
,187,4,0.66%,748,,,,,,,,,,
,188,0,0.00%,0,,,,,,,,,,
